criticality,defect_severity,asset_criticality,failure_consequence,deferral_history,mandatory,duration_minutes,restoration_minutes,power_isolation,snt_disconnection,department_risk,window_hours,traffic_block,failure_after_deferral,safety_escalation,emergency_intervention,disruption_minutes,maintenance_effectiveness,outcome_risk_score
4,5,2,2,3,0,45,0,1,1,0.82,12.0,1,1,1,1,153.761977947903,0.6515765655221772,0.8968976257120496
1,2,2,3,3,0,150,45,0,0,0.86,4.0,0,1,0,0,97.31813615849872,0.7190642335219688,0.42454426109246135
5,1,3,5,4,1,90,15,1,0,0.86,8.0,1,0,1,0,33.72471237013187,0.6448156276852572,0.2873460476421199
5,3,1,1,4,0,150,60,0,0,0.86,1.5,1,0,0,0,112.17453398668779,0.6076059532851656,0.10225060592783028
1,5,5,3,2,0,30,60,0,0,0.72,48.0,1,0,1,0,73.51067139676579,0.43211508042770097,0.32875905863457144
2,1,5,3,4,1,90,10,0,1,0.86,3.0,1,1,0,1,11.970424599788581,0.5891599311886812,0.5667390878833181
2,2,1,4,8,0,90,20,1,0,0.82,4.0,1,1,0,0,35.791168532373256,0.6687692496498427,0.3870469315460932
5,5,3,4,2,0,75,10,1,1,0.82,48.0,1,1,1,0,17.246661177440053,0.6410528447039537,0.6166240749890166
4,5,3,4,3,0,150,30,1,0,0.86,2.0,1,1,1,1,82.79656055770599,0.6603520637617906,0.8489730625751454
1,2,4,4,1,0,90,20,1,0,0.82,3.0,1,1,1,1,44.1005390081833,0.7470020671974527,0.8171102146349671
1,1,2,5,6,1,120,45,0,1,0.72,1.5,1,0,1,1,58.53921066604656,0.6989749835584201,0.4900978915949416
2,4,3,4,8,0,60,20,0,0,0.72,4.0,1,1,0,1,43.46667162590788,0.523663527731706,0.5923213341427191
4,4,5,4,0,0,60,0,0,0,0.86,4.0,1,1,1,0,30.99474202905234,0.611627124483636,0.6278492626388471
5,3,4,5,5,0,150,0,1,0,0.86,8.0,1,1,0,0,104.79329310853751,0.49178704660227296,0.4454371021435326
3,4,1,2,4,0,120,20,0,0,0.86,12.0,1,0,0,0,32.72489263441907,0.7226493419332785,0.041231141154283224
3,3,2,5,2,1,30,10,0,0,0.72,8.0,1,1,0,1,88.68713725993626,0.4294245069918251,0.6290650426838631
5,5,5,3,7,1,180,0,0,1,0.86,48.0,1,1,1,1,68.69868337349901,0.43156003340043575,0.8555899199109688
5,5,2,3,4,1,45,20,0,0,0.86,1.5,0,1,0,0,64.58452680996976,0.657484723249617,0.4070324205791734
5,1,2,2,8,0,150,45,0,0,0.72,72.0,1,0,0,0,98.50940222912354,0.645554129439241,0.09048414575866882
2,4,5,5,4,1,150,60,0,0,0.72,8.0,1,1,1,1,13.629087795210262,0.6884751130292521,0.8008928006180925
2,3,2,5,1,1,75,10,1,0,0.72,2.0,1,1,1,1,45.684902232073945,0.6426210706160391,0.8254731265449265
3,4,5,4,1,0,180,15,1,1,0.86,1.5,1,0,0,1,66.95597137365735,0.641231315687318,0.2597511221509926
4,2,5,5,2,0,60,30,1,0,0.72,8.0,1,1,0,0,34.66804066914104,0.7168873073524484,0.3829299155980893
5,4,1,1,5,0,30,15,0,0,0.86,1.5,1,1,1,0,36.66415182157937,0.7155104488338689,0.6243570364626821
5,4,3,5,1,1,45,45,0,0,0.82,12.0,1,1,1,0,68.1904211962866,0.8220730658006403,0.6379151661914797
3,1,5,4,5,0,60,45,0,1,0.86,3.0,1,1,1,1,35.66422890769247,0.7181589041972399,0.8135050293113215
5,2,2,5,6,1,150,15,0,0,0.82,12.0,0,1,1,0,30.91009227678007,0.603224999625798,0.6283809782107143
4,1,3,4,2,1,60,45,0,0,0.82,3.0,1,1,0,0,36.82222961442716,0.7488561248313439,0.38212822433809074
2,4,2,5,0,1,150,10,0,0,0.82,24.0,1,1,1,1,56.83456172798938,0.6233360201818483,0.8342561864059302
4,2,2,4,8,1,60,60,1,1,0.72,48.0,1,1,1,0,52.502323266508526,0.5588658274088426,0.6458809409257201
1,1,3,1,6,1,150,10,0,0,0.72,4.0,1,0,0,0,15.456968117904806,0.6932162771755949,0.031779506009644895
4,1,5,2,5,1,30,0,0,0,0.82,2.0,0,1,0,0,78.4740641768863,0.6788885601173834,0.41479384357637406
3,2,5,4,3,0,150,30,1,0,0.72,24.0,0,0,0,1,106.01261663189317,0.6528398915972641,0.28497628534278696
5,1,2,5,8,1,120,15,0,0,0.86,72.0,1,1,1,1,127.34247700652733,0.6846821528266162,0.8769672339731551
2,4,5,4,1,1,60,60,1,0,0.72,24.0,1,1,1,1,164.41830193558965,0.7159596847440715,0.8994950233583081
4,4,2,3,1,0,120,20,0,0,0.86,8.0,1,0,1,0,18.051307905485825,0.727811407177211,0.2710874067679191
5,1,2,3,0,1,90,30,1,0,0.72,4.0,0,0,1,1,35.05087971612548,0.7696858107504784,0.46948924639155015
2,2,2,4,3,1,150,15,0,0,0.86,24.0,0,1,1,0,42.05612349345174,0.6736130012695241,0.6308845055734345
5,5,3,1,3,0,150,20,0,0,0.82,96.0,1,0,0,1,30.213780364110406,0.7449584580602144,0.22799542817852525
5,2,5,5,8,1,75,60,0,0,0.82,24.0,1,1,1,0,67.37129491176393,0.6232784250295819,0.6512847068557719
5,1,3,4,1,0,150,60,0,0,0.72,48.0,1,0,0,0,72.71475295675978,0.6194716380058698,0.07511348731076231
5,5,4,1,0,0,30,15,0,0,0.86,72.0,1,1,0,1,51.765972636609106,0.5081052874233172,0.5989432783047739
1,1,4,5,0,1,120,20,0,1,0.72,8.0,1,1,0,0,118.40692109383048,0.579839961037419,0.4483491501232677
1,5,5,1,0,1,30,30,0,0,0.86,8.0,0,1,0,1,35.38463452173599,0.643797773648002,0.5785239121924639
5,2,4,2,5,1,45,15,1,0,0.72,4.0,1,0,0,1,36.45172584920068,0.48856280687516374,0.25010175408487234
5,2,2,5,8,0,75,10,0,0,0.72,8.0,1,1,0,1,14.77097789732181,0.6807288328895356,0.562196300295947
3,5,5,1,1,1,150,30,0,0,0.82,48.0,1,1,0,0,51.69725233489967,0.7515495807337806,0.3918563642385685
3,4,5,3,6,0,120,10,0,1,0.72,4.0,1,0,0,1,64.29918649388185,0.6824563052049615,0.25509418296490727
5,3,5,5,1,0,120,20,1,1,0.82,48.0,1,1,1,0,69.35276799851185,0.4217825523027042,0.6667104000044854
1,2,2,4,7,1,120,15,1,1,0.72,3.0,1,1,1,1,84.50321492413627,0.5702428949066133,0.8564184739726279
2,3,1,3,1,1,120,10,0,0,0.72,1.5,1,1,1,0,18.192971634309945,0.6487562261629415,0.6167157119248008
1,4,3,5,5,0,180,30,1,1,0.82,4.0,1,1,0,1,57.77515381792974,0.712867573433589,0.588616039071602
1,5,4,1,8,0,75,0,0,1,0.72,24.0,1,1,0,0,102.70551678529334,0.42486790797759744,0.4487295909650971
4,5,3,2,1,0,60,30,0,0,0.86,48.0,0,1,1,1,64.25996177009827,0.7276257706510523,0.8319061705678252
5,4,5,1,0,1,75,15,1,1,0.86,8.0,1,0,1,1,24.450230879111185,0.6838929814481457,0.46842764521803726
3,5,4,3,2,0,180,45,0,0,0.82,1.5,0,1,0,1,128.69439929211393,0.6023600805856093,0.6436310605537501
2,2,2,5,6,1,90,45,1,0,0.82,2.0,1,1,1,0,81.08083362347595,0.5007383819249741,0.6690022023475692
3,2,5,3,7,0,90,30,1,0,0.82,24.0,1,1,1,1,60.99915017532139,0.5383379842994822,0.8429824412159171
3,5,5,4,2,1,60,30,1,1,0.86,96.0,1,1,1,0,48.989122821479114,0.705128706095688,0.6333004057876213
3,2,1,5,8,1,180,15,0,0,0.72,48.0,1,1,0,0,45.71172448495006,0.44509440093462516,0.40931787492454297
5,5,3,1,2,1,60,15,0,0,0.86,48.0,1,1,0,1,88.7524217737487,0.42840942324160597,0.6291796215555868
1,4,1,2,4,0,120,60,0,1,0.82,12.0,1,0,0,1,23.165986314799465,0.8039340855530946,0.21916860488781637
5,1,1,4,5,0,60,15,1,0,0.72,1.5,0,1,1,0,38.30447902689059,0.813575019589104,0.6185860679800232
4,2,3,3,2,0,90,60,0,0,0.86,8.0,1,1,0,0,19.89854784698765,0.7862142275006198,0.36823070263961505
2,2,3,5,0,0,120,20,1,0,0.82,2.0,1,1,1,0,54.757096959865166,0.6852392271541511,0.6385379854057862
3,2,2,2,5,0,120,45,1,0,0.86,3.0,1,0,0,1,35.43299630974917,0.8487175564286413,0.22421176858982791
4,2,4,1,8,0,180,20,0,0,0.72,3.0,1,1,0,1,70.58348226436951,0.5627896676025804,0.6076603781107324
4,4,3,3,7,1,30,0,1,0,0.72,2.0,1,1,1,0,96.02656665250714,0.5577879705493464,0.6749725531632172
3,4,1,5,4,0,150,30,1,1,0.86,1.5,1,1,1,1,46.305974043296075,0.5415523022251979,0.8329619882064336
2,5,2,1,7,1,180,10,0,0,0.82,8.0,1,1,0,0,40.12454902529905,0.6696888454443306,0.3898714801690963
5,1,3,5,8,0,75,45,0,0,0.72,96.0,0,1,0,0,118.19330057746807,0.5981287835918015,0.44692651886688595
3,3,2,3,2,0,45,45,0,0,0.82,48.0,1,0,0,1,64.92124440173338,0.6269624883060337,0.25939345541973324
4,5,1,2,4,1,75,0,0,0,0.72,48.0,0,1,0,0,62.82365839773218,0.5403238048191563,0.41405977259448057
3,2,3,2,7,1,75,0,0,0,0.72,8.0,1,1,0,0,54.007508270767744,0.6346800941303951,0.40157739892471755
3,5,3,4,6,0,90,15,1,1,0.82,2.0,0,1,1,1,132.66894564299795,0.5733043381190767,0.8883146600936633
1,2,4,4,0,0,75,10,0,0,0.86,2.0,1,1,0,0,121.79120898559306,0.807269146456676,0.4346852990717614
5,4,3,4,5,1,150,20,0,0,0.86,4.0,1,1,0,0,149.73205346738195,0.6567349488155935,0.4638499225611631
4,2,3,4,0,0,30,15,0,0,0.86,24.0,1,0,1,0,76.30268589787111,0.7058118944573261,0.31146162465323457
2,2,5,2,2,1,45,15,0,0,0.86,2.0,1,1,0,0,32.778424885926825,0.7200522204074956,0.3814486278287599
5,2,5,3,5,0,45,60,0,0,0.86,8.0,1,1,1,1,68.6700985470183,0.5150688303003028,0.849725247576991
3,3,5,1,5,0,90,10,1,0,0.82,1.5,1,0,1,1,42.65014674432723,0.6985835849641995,0.47953258021539086
3,5,3,5,1,1,45,60,1,0,0.86,96.0,0,1,0,1,65.16696201967127,0.6078724282004936,0.6008935713724131
2,2,2,3,1,1,60,10,0,0,0.72,8.0,1,1,0,0,42.399335967536715,0.8251553081135263,0.380505352410411
1,4,1,1,1,1,75,45,1,0,0.72,3.0,0,1,0,0,64.46369312825507,0.752949962159425,0.400269298067677
3,1,5,5,1,0,90,15,0,0,0.82,3.0,1,1,1,0,60.8767667538109,0.5976010558746476,0.648752437257982
2,5,1,3,6,1,75,0,0,0,0.82,3.0,1,1,0,0,112.65322185682743,0.5913408839505032,0.44370828602801643
3,4,4,2,4,0,75,30,0,0,0.86,4.0,1,1,1,0,97.12050476989,0.53471968861956,0.6773166249765575
4,1,4,3,7,1,75,0,0,0,0.72,8.0,1,1,1,1,154.24723335218752,0.5961396574267686,0.9011017128815846
1,3,1,5,1,1,90,10,1,0,0.82,96.0,0,1,0,0,43.33529701071561,0.8025905993707814,0.38270885605118904
2,1,3,1,5,0,180,60,0,0,0.82,12.0,1,0,1,0,91.38127756773967,0.7885668814727959,0.31572117000873073
1,3,3,1,1,1,90,0,1,0,0.82,2.0,0,1,1,1,20.513176999140278,0.7808353992512027,0.799016973385176
3,2,1,1,1,0,150,45,0,0,0.86,8.0,1,0,1,0,76.02557154812509,0.7934835547935325,0.30513986552986944
5,3,4,5,0,1,45,30,0,1,0.82,12.0,1,1,0,0,75.14326299881716,0.6552661917263791,0.41422687524503166
1,3,1,2,0,1,45,45,0,0,0.82,1.5,0,0,0,0,55.19074239825879,0.7712475942015735,0.05280649667139571
3,5,2,2,4,0,45,10,1,0,0.82,3.0,1,1,0,1,162.02342296871,0.651826795555727,0.6623877396235726
1,4,4,4,5,1,60,45,0,0,0.82,8.0,1,1,0,0,27.4537990586094,0.5524516790364722,0.3896309151731866
3,4,5,1,1,0,120,10,1,1,0.82,8.0,1,1,0,1,94.2272546960835,0.8357731891613899,0.6043140465560917
4,2,1,2,5,0,90,0,0,0,0.72,72.0,0,1,0,0,100.83077186693598,0.8166135711354238,0.42005756459847765
1,1,2,2,4,0,60,30,1,0,0.86,96.0,1,0,0,1,23.430539303575824,0.7957967521875922,0.21991458688258578
2,4,5,2,5,1,60,45,0,1,0.72,3.0,1,0,0,1,65.49845949808505,0.590279728705106,0.26234605865603267
1,5,5,2,7,1,60,0,0,1,0.86,1.5,0,1,0,0,34.38811405597518,0.6060717125855961,0.39050038948965843
5,5,2,5,0,0,150,45,0,0,0.86,2.0,0,1,0,1,23.478757452832006,0.7062467001603658,0.566215235957329
4,3,4,4,3,0,60,10,0,0,0.72,72.0,0,0,0,0,151.45543510673653,0.680823863132631,0.12331261965187351
4,1,3,4,8,1,30,45,0,0,0.82,72.0,1,1,1,1,80.22369654910167,0.6071942684454024,0.8509788655748896
1,2,4,3,5,1,45,45,0,1,0.82,24.0,1,1,0,1,53.57869904098415,0.665378782934169,0.5891426178885976
2,5,5,4,1,0,75,10,0,1,0.86,24.0,1,1,1,0,38.24753380773861,0.6694013972901887,0.6286402580615126
2,5,1,4,6,0,120,45,0,0,0.72,2.0,1,1,0,1,119.88800545365163,0.46419449218914277,0.6474317225158611
2,3,4,2,4,0,60,45,0,0,0.82,48.0,0,1,0,1,122.09483909161816,0.5495580507262813,0.6429274958435724
4,4,5,3,3,1,120,15,1,0,0.72,1.5,1,1,0,0,92.6741631279117,0.6079944450715201,0.42922316426360146
1,3,3,2,8,1,60,10,0,1,0.86,72.0,1,0,0,0,50.51356781893368,0.5562165917631964,0.06474055045586538
3,4,4,2,5,1,150,0,0,1,0.82,3.0,1,1,0,0,63.774488923241606,0.5871259588982111,0.411417508825953
5,4,2,2,6,1,90,20,0,1,0.72,1.5,1,1,1,0,53.675723700396816,0.5917718652043283,0.6443597852359617
1,4,5,3,2,1,90,10,1,0,0.86,4.0,1,1,0,0,89.09338152369253,0.6777444040346534,0.42195347940003597
5,5,2,3,6,1,180,10,1,0,0.86,8.0,0,1,1,0,45.701951762875794,0.5703493994266834,0.6405435098820494
4,1,4,5,6,1,150,10,0,0,0.86,12.0,1,1,0,0,99.1327225306593,0.579502622322093,0.4355232981245597
4,2,4,2,4,1,45,0,1,1,0.72,4.0,1,0,1,0,52.22126146349001,0.7885488383260879,0.2896157556261672
5,5,1,1,7,1,75,30,1,0,0.86,1.5,1,0,0,0,74.54629850183198,0.534099758936587,0.08231054920899357
5,2,4,3,8,1,150,60,0,0,0.72,24.0,1,1,1,0,49.10146381938617,0.7011121466483502,0.6336564589475396
1,5,2,4,1,1,180,30,1,0,0.72,8.0,1,1,1,1,64.37188396192553,0.7101503039100588,0.8332040680342463
4,5,2,2,7,1,180,10,0,1,0.72,2.0,1,1,0,1,90.5870434762697,0.7349025862931988,0.6089481812769892
1,1,5,5,6,1,120,15,0,0,0.72,1.5,1,1,0,0,90.63523896751379,0.6370306796699817,0.4258313450681105
2,3,3,3,8,0,120,10,0,1,0.72,12.0,0,0,1,1,86.57407254136658,0.5997298994452887,0.5157349553997408
5,1,5,4,5,0,45,10,0,0,0.82,96.0,0,0,0,0,2.8579397324997173,0.6502539620239498,0.026387515813323326
4,5,2,2,7,0,120,0,1,0,0.82,8.0,1,1,1,1,141.87763782706,0.6349890080249092,0.8901358613229631
1,4,5,4,5,0,120,20,0,0,0.72,4.0,1,1,0,1,39.348465897222454,0.6927151213196141,0.5777422521057753
5,5,4,5,0,1,120,15,1,1,0.86,12.0,1,1,0,1,98.9665716945672,0.6770985449769453,0.6185808163146587
4,1,5,3,7,0,90,0,0,0,0.82,4.0,1,1,0,0,67.57994681442241,0.7761316711299863,0.4007240808971826
5,3,1,2,2,1,90,60,0,1,0.82,4.0,1,1,0,0,185.335823824122,0.7741910170631519,0.4793638446883274
1,1,1,1,6,0,30,0,0,0,0.86,8.0,1,0,0,1,17.478432767868195,0.7513944306694207,0.21905467836505269
3,5,1,1,0,0,150,15,0,0,0.72,72.0,1,0,0,1,61.62158655850343,0.7470588356939196,0.24878693920709458
5,3,5,1,1,1,30,30,1,0,0.86,48.0,1,1,1,0,54.474216945064946,0.7851167676379871,0.6313579708953843
4,1,3,2,3,1,30,15,0,0,0.86,48.0,1,0,0,0,35.020205844191686,0.7659885788982246,0.03972760337325207
5,1,3,4,4,1,180,60,0,0,0.72,4.0,1,0,0,0,67.06826796754589,0.7563441630101705,0.06176808723431866
5,1,3,2,0,1,180,60,0,1,0.72,48.0,0,1,1,0,72.03230963121592,0.9013959252538932,0.6349238249863715
3,2,4,1,5,1,60,30,0,0,0.72,12.0,0,0,0,0,116.50715214398141,0.7452129228979765,0.09550653015979593
5,1,5,1,7,1,30,20,1,0,0.86,3.0,1,1,0,0,84.3930474518727,0.5096338211153303,0.43058766415650873
4,3,5,2,8,1,30,0,0,0,0.72,4.0,1,1,0,1,83.82202333001858,0.6845663850677935,0.6079617019319336
1,5,2,2,5,0,180,15,0,0,0.72,4.0,1,1,0,1,136.6393759573504,0.7519475946948517,0.6384565856762606
4,3,5,3,0,0,120,0,0,1,0.86,8.0,1,1,0,1,32.452109474258215,0.749702711373143,0.5691555498533855
4,1,2,1,6,1,120,60,0,1,0.72,2.0,1,0,1,0,104.80444910624938,0.8170289781163995,0.3226776042693516
5,2,2,4,1,1,45,20,0,0,0.72,48.0,1,0,1,0,62.34636020844028,0.8114303801580907,0.29476411352789383
3,2,5,1,7,1,30,10,0,0,0.82,12.0,0,0,0,0,55.81931611033205,0.6357707087876149,0.06270892779175499
1,1,1,3,8,0,45,10,1,0,0.82,3.0,1,0,0,0,28.96893629317391,0.7047286251434439,0.039981620435408205
3,3,2,3,8,0,120,45,1,0,0.72,24.0,1,1,0,1,38.15693725637098,0.6660735265283996,0.578812811313926
3,3,1,5,6,1,120,20,1,0,0.82,4.0,1,1,0,1,57.81122616598493,0.5948471387101449,0.5969015177342798
3,5,5,4,8,1,150,15,0,0,0.72,8.0,1,1,0,0,102.0928264057399,0.4553047811354456,0.4461905495910121
4,4,5,2,1,0,120,0,0,1,0.86,48.0,1,1,0,1,202.99745952098613,0.6883620325586688,0.6871462974015506
2,2,1,4,2,1,30,0,0,0,0.82,12.0,1,0,1,1,99.5580352455944,0.7341942463353832,0.5149784262535861
4,4,5,4,3,1,30,60,0,0,0.86,2.0,0,1,1,0,132.8413079709494,0.5144104319984791,0.7025521417407395
2,4,5,4,1,1,60,10,0,0,0.86,3.0,1,1,0,1,41.70406951903727,0.5284747643339905,0.5908094795093123
3,3,1,1,1,0,150,15,0,1,0.86,4.0,1,1,0,0,25.975710700515364,0.6314768576127061,0.3831137604341208
2,2,4,5,3,1,150,0,0,0,0.72,2.0,1,1,0,1,103.62126462761204,0.4786080317644627,0.6355782808615623
2,5,2,1,5,1,180,15,1,0,0.86,12.0,1,0,0,1,86.28856411225603,0.6276238763114862,0.27359203806636667
3,5,3,4,8,0,180,10,1,0,0.72,48.0,0,1,1,0,105.03288242218329,0.4837326201741292,0.6861606382025999
5,3,5,2,3,1,45,10,0,0,0.72,8.0,1,1,1,0,113.33230869614843,0.7092100309631866,0.675910170296676
5,2,5,2,3,1,150,10,0,1,0.86,12.0,1,1,0,1,61.743407299115596,0.7726438708286585,0.5870772005747377
5,2,2,2,1,0,90,60,0,0,0.82,2.0,1,0,0,0,113.90164448424036,0.7561436225580435,0.0930043760770972
5,5,5,2,5,0,90,10,0,0,0.86,48.0,1,1,0,0,141.95053717017046,0.6980018071077176,0.4557735649492401
2,4,4,1,1,1,45,0,0,1,0.86,3.0,1,0,0,0,44.73391089373357,0.6637483053609705,0.05336022588722111
4,4,5,2,2,1,120,30,0,0,0.82,72.0,1,1,0,1,7.340921756213739,0.7448033408229764,0.5527577139798675
4,1,1,3,0,1,180,45,0,1,0.82,72.0,0,0,1,0,26.005116930902986,0.8961032643132822,0.26460951611867223
4,2,2,4,2,1,75,30,0,0,0.72,96.0,1,1,0,0,13.482140139629937,0.6641851274377205,0.3724951345057796
5,3,3,2,0,1,120,0,0,0,0.86,4.0,1,1,0,0,44.139340800882785,0.795791064808431,0.38372085266399836
1,4,3,4,1,0,30,10,0,1,0.72,2.0,1,1,1,1,104.35705772142079,0.7042803048863829,0.8602717504722337
5,3,2,5,0,0,180,20,1,0,0.86,12.0,1,1,1,0,55.26710590969924,0.7266641875392889,0.6359782441453827
4,1,5,3,5,0,30,45,0,0,0.72,1.5,1,1,0,1,57.79455137648817,0.6600429833276478,0.5923266920847235
3,2,3,5,6,0,180,20,0,0,0.72,48.0,1,1,1,1,88.6040800090739,0.5214081364591951,0.8625708171205723
2,1,1,3,3,0,120,15,0,0,0.86,8.0,0,0,1,1,125.02729967936688,0.7286845275672023,0.5323436161898738
4,4,2,5,8,1,75,0,1,0,0.82,96.0,1,1,1,1,72.78449789945637,0.3644574318513264,0.8630109783700448
3,5,1,2,6,1,30,45,0,0,0.86,72.0,1,0,0,0,66.35470857027539,0.6739045254872982,0.06706315559607273
5,3,1,1,0,1,180,15,0,0,0.72,8.0,1,0,1,0,102.68789403421246,0.7327945491039314,0.3271629775855331
2,2,3,3,1,1,45,30,0,1,0.72,2.0,1,0,0,0,30.42387947744874,0.671671309714373,0.04326559463829305
5,2,4,4,6,0,120,20,0,1,0.72,72.0,0,1,1,1,121.71625894739917,0.6276666371475057,0.8772075080312741
1,5,3,4,7,0,60,60,0,0,0.82,4.0,1,1,0,1,130.00026029527473,0.5632135742538906,0.6472418899990775
1,3,4,2,4,1,150,30,0,0,0.82,12.0,1,1,0,0,37.15438152548322,0.578891983549627,0.39424714883518164
4,4,2,5,7,0,90,45,0,0,0.72,48.0,1,1,1,1,95.94677284643927,0.37020209356014155,0.8780503686817496
4,4,4,5,8,0,60,0,0,1,0.86,72.0,1,1,0,0,39.23218030882708,0.6412678868861966,0.3912660347905177
5,4,1,5,4,1,45,0,1,0,0.72,48.0,1,1,0,0,177.4770294259141,0.6025675678818181,0.48613828986554886
5,4,1,1,1,0,180,0,1,0,0.82,48.0,1,1,0,0,74.66182836210557,0.6339134911793616,0.4154006078588484
1,2,3,3,8,1,60,45,1,1,0.82,12.0,1,1,0,0,33.997984786345356,0.59007511866302,0.39136006488448555
2,2,2,2,8,0,60,10,0,0,0.86,8.0,1,1,0,0,55.54645751694879,0.6088332819228753,0.4044126419433646
2,3,2,5,3,0,90,0,0,0,0.72,24.0,1,1,0,1,40.069987468034945,0.7031625096480296,0.5774919493033279
4,5,3,5,4,0,30,45,1,0,0.72,48.0,1,1,0,0,155.06174865041464,0.6874457840528388,0.46525329421657774
3,4,4,3,4,0,30,0,0,0,0.72,4.0,1,1,0,1,130.67237936445582,0.6733551001721348,0.6399800625642545
4,4,3,1,0,1,120,60,0,0,0.86,12.0,1,1,0,0,57.87911519959344,0.6956260412638923,0.39989225391125655
5,3,4,3,2,0,30,45,0,0,0.82,4.0,1,1,1,0,79.21125948607431,0.708515226972029,0.6532114404360075
4,1,3,4,6,0,180,0,0,1,0.72,12.0,1,0,0,0,240.0,0.6044474258479209,0.18768868019064555
3,5,4,1,8,1,150,20,0,1,0.86,72.0,1,1,0,0,102.44922542535119,0.40848420063568125,0.44970558957240314
3,5,5,1,8,1,45,30,0,0,0.72,1.5,1,1,0,0,47.99317495433135,0.631962204596003,0.39775809564783404
2,3,4,2,1,0,45,15,0,0,0.72,8.0,1,0,0,0,88.45419610663933,0.8323047165738312,0.0707081339109247
5,2,2,3,8,0,30,60,0,0,0.82,24.0,1,0,0,0,77.39405060437917,0.5763264647302014,0.08125318120513868
3,4,2,5,5,1,30,10,0,0,0.86,3.0,1,1,0,1,77.83262596531583,0.6340381820276331,0.6075057445682762
3,4,1,3,3,1,90,15,0,0,0.72,24.0,1,0,1,0,63.77155814962733,0.7952226786702399,0.29684878459283476
5,3,5,2,1,1,150,45,0,0,0.82,96.0,0,0,1,1,94.36821258754212,0.7261040400799414,0.5120848589194321
1,2,3,5,4,0,45,60,0,0,0.86,8.0,1,0,0,0,94.98785803871368,0.7594731649478844,0.08016211714612388
4,4,3,5,1,0,150,10,0,1,0.86,4.0,1,0,0,1,41.61844085532823,0.4885680234664187,0.2535458655942362
5,4,4,1,3,0,60,0,0,1,0.82,12.0,1,1,0,1,92.84355320179566,0.5404402600677902,0.6240648839297851
2,1,2,4,4,0,90,15,0,0,0.86,96.0,1,1,0,1,43.4163804597531,0.7002407600120102,0.5799274004389947
1,5,2,5,3,0,30,0,0,0,0.86,3.0,0,1,0,1,67.19261515056402,0.5630346241123283,0.6053826530791797
5,4,2,1,6,1,120,15,1,0,0.72,24.0,1,1,0,1,75.13278478565735,0.7673047270447155,0.5963771922973081
1,2,2,5,5,1,45,20,1,0,0.82,72.0,0,1,0,0,46.488615573556395,0.7386189542185346,0.38928908358707354
4,4,3,4,0,0,150,15,1,0,0.72,4.0,1,1,1,0,54.23508128656611,0.65786397570476,0.6401062425583776
